"","ay","age","amount","metric","eval_date"
"1996.1591",1996,159,1,"ind_itdrptd",2010-03-31
"1997.1591",1997,159,1.003,"ind_itdrptd",2011-03-31
"1998.1591",1998,159,1.004,"ind_itdrptd",2012-03-31
"1999.1591",1999,159,1.003,"ind_itdrptd",2013-03-31
"2000.1591",2000,159,1.002,"ind_itdrptd",2014-03-31
"2001.1591",2001,159,1.003,"ind_itdrptd",2015-03-31
"2002.1591",2002,159,1.001,"ind_itdrptd",2016-03-31
"2003.1591",2003,159,1.003,"ind_itdrptd",2017-03-31
"2004.1591",2004,159,1.001,"ind_itdrptd",2018-03-31
"2005.1591",2005,159,1.004,"ind_itdrptd",2019-03-31
