"","ay","age","amount","metric","eval_date"
"2004.511",2004,51,2773802925,"ind_itdrptd",03/31/2008
"2005.511",2005,51,2098812219,"ind_itdrptd",03/31/2009
"2006.511",2006,51,2164892571,"ind_itdrptd",03/31/2010
"2007.511",2007,51,2322964996,"ind_itdrptd",03/31/2011
"2008.511",2008,51,2450087009,"ind_itdrptd",03/31/2012
"2009.511",2009,51,2357747424,"ind_itdrptd",03/31/2013
"2010.511",2010,51,2420680063,"ind_itdrptd",03/31/2014
"2011.511",2011,51,2451724960,"ind_itdrptd",03/31/2015
"2012.511",2012,51,2524533154,"ind_itdrptd",03/31/2016
"2013.511",2013,51,2646761592,"ind_itdrptd",03/31/2017
"2014.511",2014,51,2866916382,"ind_itdrptd",03/31/2018
"2003.631",2003,63,4133379373,"ind_itdrptd",03/31/2008
"2004.631",2004,63,2890302648,"ind_itdrptd",03/31/2009
"2005.631",2005,63,2231037389,"ind_itdrptd",03/31/2010
"2006.631",2006,63,2320764836,"ind_itdrptd",03/31/2011
"2007.631",2007,63,2476280686,"ind_itdrptd",03/31/2012
"2008.631",2008,63,2604442490,"ind_itdrptd",03/31/2013
"2009.631",2009,63,2515716502,"ind_itdrptd",03/31/2014
"2010.631",2010,63,2570762227,"ind_itdrptd",03/31/2015
"2011.631",2011,63,2581666383,"ind_itdrptd",03/31/2016
"2012.631",2012,63,2673480610,"ind_itdrptd",03/31/2017
"2013.631",2013,63,2773806148,"ind_itdrptd",03/31/2018
"2002.751",2002,75,4520151864,"ind_itdrptd",03/31/2008
"2003.751",2003,75,4257380754,"ind_itdrptd",03/31/2009
"2004.751",2004,75,2997243846,"ind_itdrptd",03/31/2010
"2005.751",2005,75,2340358221,"ind_itdrptd",03/31/2011
"2006.751",2006,75,2439123843,"ind_itdrptd",03/31/2012
"2007.751",2007,75,2587713317,"ind_itdrptd",03/31/2013
"2008.751",2008,75,2716433517,"ind_itdrptd",03/31/2014
"2009.751",2009,75,2623892311,"ind_itdrptd",03/31/2015
"2010.751",2010,75,2665880430,"ind_itdrptd",03/31/2016
"2011.751",2011,75,2664279707,"ind_itdrptd",03/31/2017
"2012.751",2012,75,2761705470,"ind_itdrptd",03/31/2018
"2001.871",2001,87,4666031227,"ind_itdrptd",03/31/2008
